head_x,head_y,head_z,shoulder_center_x,shoulder_center_y,shoulder_center_z,spine_x,spine_y,spine_z,hip center_x,hip center_y,hip center_z,shoulder left_x,shoulder left_y,shoulder left_z,elbow left_x,elbow left_y,elbow left_z,wrist left_x,wrist left_y,wrist left_z,hand left_x,hand left_y,hand left_z,shoulder right_x,shoulder right_y,shoulder right_z,elbow right_x,elbow right_y,elbow right_z,wrist right_x,wrist right_y,wrist right_z,hand right_x,hand right_y,hand right_z,hip left_x,hip left_y,hip left_z,knee left_x,knee left_y,knee left_z,ankle left_x,ankle left_y,ankle left_z,foot left_x,foot left_y,foot left_z,hip right_x,hip right_y,hip right_z,knee right_x,knee right_y,knee right_z,ankle right_x,ankle right_y,ankle right_z,foot right_x,foot right_y,foot right_z,time_stamp
-0.146729,0.407497,3.00217,-0.201588,0.217501,3.00866,-0.167488,-0.132126,2.93024,-0.160668,-0.202052,2.91785,-0.25217,0.0667788,2.88034,-0.273756,-0.136784,2.75259,-0.173517,-0.272226,2.72864,-0.140104,-0.317374,2.72514,-0.109859,0.127326,3.07741,-0.0255627,-0.0651388,2.96142,0.063542,-0.258334,2.86485,0.0932436,-0.322733,2.83714,-0.186646,-0.277631,2.84859,-0.318514,-0.619298,2.86148,-0.300346,-0.886407,2.79577,-0.200964,-0.892914,2.80924,-0.122606,-0.250385,2.95631,0.187383,-0.484023,2.76423,0.127364,-0.828309,2.84687,0.209941,-0.883962,2.86045,11_27_518
-0.146729,0.407497,3.00217,-0.201588,0.217501,3.00866,-0.167488,-0.132126,2.93024,-0.160668,-0.202052,2.91785,-0.25217,0.0667788,2.88034,-0.273756,-0.136784,2.75259,-0.173517,-0.272226,2.72864,-0.140104,-0.317374,2.72514,-0.109859,0.127326,3.07741,-0.0255627,-0.0651388,2.96142,0.063542,-0.258334,2.86485,0.0932436,-0.322733,2.83714,-0.186646,-0.277631,2.84859,-0.318514,-0.619298,2.86148,-0.300346,-0.886407,2.79577,-0.200964,-0.892914,2.80924,-0.122606,-0.250385,2.95631,0.187383,-0.484023,2.76423,0.127364,-0.828309,2.84687,0.209941,-0.883962,2.86045,11_27_518
-0.147234,0.407692,3.00227,-0.201602,0.217448,3.00887,-0.167628,-0.132109,2.93044,-0.160854,-0.202014,2.91806,-0.252097,0.0665912,2.88102,-0.274641,-0.135566,2.75349,-0.16767,-0.280012,2.73223,-0.132013,-0.328161,2.72964,-0.100599,0.0845632,3.08975,-0.0157342,-0.102364,2.96634,0.0518653,-0.289875,2.8468,0.0743985,-0.352378,2.81144,-0.187882,-0.275533,2.84797,-0.318559,-0.619207,2.8617,-0.300278,-0.888265,2.79565,-0.201378,-0.896786,2.80703,-0.122754,-0.254609,2.95758,0.178102,-0.477479,2.76391,0.13027,-0.826471,2.84612,0.209697,-0.885417,2.86,11_27_595
-0.147234,0.407692,3.00227,-0.201602,0.217448,3.00887,-0.167628,-0.132109,2.93044,-0.160854,-0.202014,2.91806,-0.252097,0.0665912,2.88102,-0.274641,-0.135566,2.75349,-0.16767,-0.280012,2.73223,-0.132013,-0.328161,2.72964,-0.100599,0.0845632,3.08975,-0.0157342,-0.102364,2.96634,0.0518653,-0.289875,2.8468,0.0743985,-0.352378,2.81144,-0.187882,-0.275533,2.84797,-0.318559,-0.619207,2.8617,-0.300278,-0.888265,2.79565,-0.201378,-0.896786,2.80703,-0.122754,-0.254609,2.95758,0.178102,-0.477479,2.76391,0.13027,-0.826471,2.84612,0.209697,-0.885417,2.86,11_27_595
-0.147312,0.407723,3.00229,-0.201601,0.217438,3.0089,-0.167649,-0.132107,2.93047,-0.160882,-0.202009,2.91809,-0.252088,0.0665625,2.88113,-0.274763,-0.13547,2.75364,-0.165946,-0.28211,2.73323,-0.129389,-0.331205,2.73106,-0.0983164,0.0748015,3.09281,-0.0132082,-0.111591,2.96727,0.0423498,-0.296487,2.83042,0.0640816,-0.356844,2.79517,-0.188079,-0.275184,2.84786,-0.318589,-0.619257,2.86172,-0.300238,-0.888739,2.79566,-0.20134,-0.897492,2.80666,-0.122755,-0.255318,2.95778,0.176497,-0.476375,2.76385,0.130846,-0.826227,2.84606,0.2098,-0.885911,2.86011,11_27_626
-0.147312,0.407723,3.00229,-0.201601,0.217438,3.0089,-0.167649,-0.132107,2.93047,-0.160882,-0.202009,2.91809,-0.252088,0.0665625,2.88113,-0.274763,-0.13547,2.75364,-0.165946,-0.28211,2.73323,-0.129389,-0.331205,2.73106,-0.0983164,0.0748015,3.09281,-0.0132082,-0.111591,2.96727,0.0423498,-0.296487,2.83042,0.0640816,-0.356844,2.79517,-0.188079,-0.275184,2.84786,-0.318589,-0.619257,2.86172,-0.300238,-0.888739,2.79566,-0.20134,-0.897492,2.80666,-0.122755,-0.255318,2.95778,0.176497,-0.476375,2.76385,0.130846,-0.826227,2.84606,0.2098,-0.885911,2.86011,11_27_626
-0.146731,0.407595,3.00263,-0.201534,0.217406,3.00897,-0.167622,-0.132094,2.93054,-0.16086,-0.201985,2.91817,-0.252088,0.0665469,2.88123,-0.274947,-0.135381,2.75379,-0.164422,-0.283934,2.73414,-0.126832,-0.334014,2.73239,-0.0955512,0.0680794,3.10585,-0.0110306,-0.117549,2.97262,-0.0170873,-0.263547,2.83779,0.00780177,-0.326256,2.79529,-0.188215,-0.274902,2.8478,-0.318619,-0.619306,2.86174,-0.291643,-0.88923,2.79712,-0.192219,-0.899243,2.80702,-0.122492,-0.256085,2.95822,0.175075,-0.475473,2.76382,0.13131,-0.826123,2.84606,0.210557,-0.887148,2.86059,11_27_657
-0.146731,0.407595,3.00263,-0.201534,0.217406,3.00897,-0.167622,-0.132094,2.93054,-0.16086,-0.201985,2.91817,-0.252088,0.0665469,2.88123,-0.274947,-0.135381,2.75379,-0.164422,-0.283934,2.73414,-0.126832,-0.334014,2.73239,-0.0955512,0.0680794,3.10585,-0.0110306,-0.117549,2.97262,-0.0170873,-0.263547,2.83779,0.00780177,-0.326256,2.79529,-0.188215,-0.274902,2.8478,-0.318619,-0.619306,2.86174,-0.291643,-0.88923,2.79712,-0.192219,-0.899243,2.80702,-0.122492,-0.256085,2.95822,0.175075,-0.475473,2.76382,0.13131,-0.826123,2.84606,0.210557,-0.887148,2.86059,11_27_657
-0.145832,0.407498,3.00324,-0.201241,0.217356,3.00912,-0.16751,-0.132058,2.93068,-0.160764,-0.201935,2.91831,-0.252092,0.0665646,2.88136,-0.275113,-0.135314,2.75392,-0.163116,-0.28548,2.73499,-0.124627,-0.336403,2.73361,-0.0934311,0.0637724,3.11681,-0.00928253,-0.121838,2.97743,-0.0240688,-0.264406,2.83532,-0.0018938,-0.325015,2.79124,-0.188292,-0.274641,2.84776,-0.318642,-0.619339,2.86175,-0.290617,-0.889805,2.79759,-0.190322,-0.899985,2.80701,-0.122059,-0.256851,2.95878,0.174047,-0.474921,2.76378,0.131675,-0.826321,2.84601,0.209119,-0.890361,2.86335,11_27_689
-0.145832,0.407498,3.00324,-0.201241,0.217356,3.00912,-0.16751,-0.132058,2.93068,-0.160764,-0.201935,2.91831,-0.252092,0.0665646,2.88136,-0.275113,-0.135314,2.75392,-0.163116,-0.28548,2.73499,-0.124627,-0.336403,2.73361,-0.0934311,0.0637724,3.11681,-0.00928253,-0.121838,2.97743,-0.0240688,-0.264406,2.83532,-0.0018938,-0.325015,2.79124,-0.188292,-0.274641,2.84776,-0.318642,-0.619339,2.86175,-0.290617,-0.889805,2.79759,-0.190322,-0.899985,2.80701,-0.122059,-0.256851,2.95878,0.174047,-0.474921,2.76378,0.131675,-0.826321,2.84601,0.209119,-0.890361,2.86335,11_27_689
