head_x,head_y,head_z,shoulder_center_x,shoulder_center_y,shoulder_center_z,spine_x,spine_y,spine_z,hip center_x,hip center_y,hip center_z,shoulder left_x,shoulder left_y,shoulder left_z,elbow left_x,elbow left_y,elbow left_z,wrist left_x,wrist left_y,wrist left_z,hand left_x,hand left_y,hand left_z,shoulder right_x,shoulder right_y,shoulder right_z,elbow right_x,elbow right_y,elbow right_z,wrist right_x,wrist right_y,wrist right_z,hand right_x,hand right_y,hand right_z,hip left_x,hip left_y,hip left_z,knee left_x,knee left_y,knee left_z,ankle left_x,ankle left_y,ankle left_z,foot left_x,foot left_y,foot left_z,hip right_x,hip right_y,hip right_z,knee right_x,knee right_y,knee right_z,ankle right_x,ankle right_y,ankle right_z,foot right_x,foot right_y,foot right_z,time_stamp
0.183187,0.729798,1.92249,0.268242,0.573511,1.83798,0.23656,0.181689,1.79961,0.228248,0.113661,1.74809,0.077572,0.249617,1.67699,0.0705859,0.087337,1.70006,0.053063,0.237372,1.6151,0.0472221,0.287383,1.59035,0.292614,0.406081,1.70265,0.139581,0.238398,1.66373,-0.00828312,0.159041,1.64005,-0.052051,0.122743,1.65719,0.174769,0.0198841,1.72892,0.246647,-0.309182,1.69793,0.19076,-0.576104,1.65757,0.239118,-0.621605,1.62907,0.271538,0.0902929,1.74164,0.192951,-0.358408,1.70075,0.327927,-0.619132,1.89073,0.341833,-0.669551,1.90154,26_52_735
0.183187,0.729798,1.92249,0.268242,0.573511,1.83798,0.23656,0.181689,1.79961,0.228248,0.113661,1.74809,0.077572,0.249617,1.67699,0.0705859,0.087337,1.70006,0.053063,0.237372,1.6151,0.0472221,0.287383,1.59035,0.292614,0.406081,1.70265,0.139581,0.238398,1.66373,-0.00828312,0.159041,1.64005,-0.052051,0.122743,1.65719,0.174769,0.0198841,1.72892,0.246647,-0.309182,1.69793,0.19076,-0.576104,1.65757,0.239118,-0.621605,1.62907,0.271538,0.0902929,1.74164,0.192951,-0.358408,1.70075,0.327927,-0.619132,1.89073,0.341833,-0.669551,1.90154,26_52_735
0.172982,0.727545,1.93641,0.268208,0.573574,1.84559,0.231181,0.173195,1.80737,0.226219,0.100828,1.75554,0.111195,0.289234,1.67686,0.068972,0.123461,1.69446,-0.00363566,0.256014,1.70936,-0.0278382,0.300198,1.71843,0.292456,0.406307,1.71027,0.130671,0.228829,1.66708,-0.0343569,0.190549,1.68356,-0.0872959,0.174098,1.7012,0.175801,0.0198051,1.73844,0.245345,-0.305348,1.70584,0.190092,-0.576585,1.66233,0.241472,-0.627183,1.63082,0.265005,0.0791871,1.75026,0.191575,-0.364478,1.70811,0.327527,-0.619516,1.89543,0.340379,-0.689611,1.89752,26_52_766
0.172982,0.727545,1.93641,0.268208,0.573574,1.84559,0.231181,0.173195,1.80737,0.226219,0.100828,1.75554,0.111195,0.289234,1.67686,0.068972,0.123461,1.69446,-0.00363566,0.256014,1.70936,-0.0278382,0.300198,1.71843,0.292456,0.406307,1.71027,0.130671,0.228829,1.66708,-0.0343569,0.190549,1.68356,-0.0872959,0.174098,1.7012,0.175801,0.0198051,1.73844,0.245345,-0.305348,1.70584,0.190092,-0.576585,1.66233,0.241472,-0.627183,1.63082,0.265005,0.0791871,1.75026,0.191575,-0.364478,1.70811,0.327527,-0.619516,1.89543,0.340379,-0.689611,1.89752,26_52_766
0.171227,0.727213,1.93905,0.268183,0.573588,1.84686,0.229179,0.171328,1.80871,0.225739,0.0982834,1.75687,0.146851,0.331694,1.67146,0.0693016,0.135819,1.69219,-0.0201017,0.259978,1.73477,-0.0538976,0.301126,1.75898,0.29242,0.40636,1.71158,0.129206,0.227322,1.66764,-0.0393431,0.196791,1.69241,-0.0944324,0.184817,1.71072,0.176905,0.0215156,1.74032,0.243833,-0.303706,1.7074,0.189871,-0.576715,1.66316,0.241668,-0.628148,1.63117,0.263086,0.0767869,1.75192,0.192884,-0.367044,1.71,0.327406,-0.619583,1.8962,0.338825,-0.692116,1.89641,26_52_799
0.171227,0.727213,1.93905,0.268183,0.573588,1.84686,0.229179,0.171328,1.80871,0.225739,0.0982834,1.75687,0.146851,0.331694,1.67146,0.0693016,0.135819,1.69219,-0.0201017,0.259978,1.73477,-0.0538976,0.301126,1.75898,0.29242,0.40636,1.71158,0.129206,0.227322,1.66764,-0.0393431,0.196791,1.69241,-0.0944324,0.184817,1.71072,0.176905,0.0215156,1.74032,0.243833,-0.303706,1.7074,0.189871,-0.576715,1.66316,0.241668,-0.628148,1.63117,0.263086,0.0767869,1.75192,0.192884,-0.367044,1.71,0.327406,-0.619583,1.8962,0.338825,-0.692116,1.89641,26_52_799
0.170035,0.726988,1.94072,0.268158,0.573604,1.84772,0.227114,0.169536,1.80926,0.225192,0.0960187,1.75751,0.1664,0.354994,1.66765,0.0695327,0.14526,1.68993,-0.0329429,0.264197,1.75421,-0.0687869,0.302794,1.7826,0.292394,0.406398,1.71247,0.128164,0.226244,1.66802,-0.04268,0.201133,1.69845,-0.0991068,0.192079,1.71703,0.177979,0.0232817,1.74144,0.242493,-0.302388,1.70829,0.189249,-0.576917,1.6638,0.241039,-0.629017,1.63147,0.260997,0.0746235,1.75275,0.192499,-0.36924,1.71083,0.327001,-0.619653,1.89665,0.33791,-0.694577,1.89563,26_52_830
0.170035,0.726988,1.94072,0.268158,0.573604,1.84772,0.227114,0.169536,1.80926,0.225192,0.0960187,1.75751,0.1664,0.354994,1.66765,0.0695327,0.14526,1.68993,-0.0329429,0.264197,1.75421,-0.0687869,0.302794,1.7826,0.292394,0.406398,1.71247,0.128164,0.226244,1.66802,-0.04268,0.201133,1.69845,-0.0991068,0.192079,1.71703,0.177979,0.0232817,1.74144,0.242493,-0.302388,1.70829,0.189249,-0.576917,1.6638,0.241039,-0.629017,1.63147,0.260997,0.0746235,1.75275,0.192499,-0.36924,1.71083,0.327001,-0.619653,1.89665,0.33791,-0.694577,1.89563,26_52_830
0.169203,0.7269,1.94178,0.268052,0.573651,1.84812,0.22485,0.167636,1.80886,0.224403,0.0936894,1.75722,0.177943,0.368868,1.66475,0.0695503,0.152527,1.68756,-0.0406382,0.266953,1.76549,-0.0783647,0.304061,1.79765,0.292333,0.406467,1.71299,0.127371,0.225564,1.66813,-0.0450109,0.204382,1.70283,-0.102349,0.197157,1.72139,0.178971,0.0250394,1.74181,0.240915,-0.301166,1.70848,0.187814,-0.577218,1.66423,0.239974,-0.629721,1.63165,0.258551,0.0724852,1.75264,0.184617,-0.37233,1.70992,0.326073,-0.619698,1.89673,0.337243,-0.696284,1.89505,26_52_877
0.169203,0.7269,1.94178,0.268052,0.573651,1.84812,0.22485,0.167636,1.80886,0.224403,0.0936894,1.75722,0.177943,0.368868,1.66475,0.0695503,0.152527,1.68756,-0.0406382,0.266953,1.76549,-0.0783647,0.304061,1.79765,0.292333,0.406467,1.71299,0.127371,0.225564,1.66813,-0.0450109,0.204382,1.70283,-0.102349,0.197157,1.72139,0.178971,0.0250394,1.74181,0.240915,-0.301166,1.70848,0.187814,-0.577218,1.66423,0.239974,-0.629721,1.63165,0.258551,0.0724852,1.75264,0.184617,-0.37233,1.70992,0.326073,-0.619698,1.89673,0.337243,-0.696284,1.89505,26_52_877
