head_x,head_y,head_z,shoulder_center_x,shoulder_center_y,shoulder_center_z,spine_x,spine_y,spine_z,hip center_x,hip center_y,hip center_z,shoulder left_x,shoulder left_y,shoulder left_z,elbow left_x,elbow left_y,elbow left_z,wrist left_x,wrist left_y,wrist left_z,hand left_x,hand left_y,hand left_z,shoulder right_x,shoulder right_y,shoulder right_z,elbow right_x,elbow right_y,elbow right_z,wrist right_x,wrist right_y,wrist right_z,hand right_x,hand right_y,hand right_z,hip left_x,hip left_y,hip left_z,knee left_x,knee left_y,knee left_z,ankle left_x,ankle left_y,ankle left_z,foot left_x,foot left_y,foot left_z,hip right_x,hip right_y,hip right_z,knee right_x,knee right_y,knee right_z,ankle right_x,ankle right_y,ankle right_z,foot right_x,foot right_y,foot right_z,time_stamp
-1.33486,0.622345,2.97431,-1.39743,0.446695,2.99508,-1.36736,0.115372,2.99766,-1.33509,0.0563999,2.96815,-1.48466,0.352625,2.91412,-1.4908,0.149949,2.85286,-1.48752,-0.127251,2.80829,-1.45656,-0.181815,2.80907,-1.26242,0.385088,3.09347,-1.2382,0.109292,3.10613,-1.20448,-0.10964,3.06958,-1.20094,-0.186642,3.03403,-1.37412,-0.0116643,2.91344,-1.43695,-0.486854,2.90118,-1.42285,-0.868214,2.88884,-1.42776,-0.939878,2.85152,-1.27306,-0.00893811,3.00961,-1.30741,-0.485305,2.9991,-1.34968,-0.868548,2.9716,-1.38831,-0.922303,2.925,44_03_939
-1.33486,0.622345,2.97431,-1.39743,0.446695,2.99508,-1.36736,0.115372,2.99766,-1.33509,0.0563999,2.96815,-1.48466,0.352625,2.91412,-1.4908,0.149949,2.85286,-1.48752,-0.127251,2.80829,-1.45656,-0.181815,2.80907,-1.26242,0.385088,3.09347,-1.2382,0.109292,3.10613,-1.20448,-0.10964,3.06958,-1.20094,-0.186642,3.03403,-1.37412,-0.0116643,2.91344,-1.43695,-0.486854,2.90118,-1.42285,-0.868214,2.88884,-1.42776,-0.939878,2.85152,-1.27306,-0.00893811,3.00961,-1.30741,-0.485305,2.9991,-1.34968,-0.868548,2.9716,-1.38831,-0.922303,2.925,44_03_939
-1.30626,0.624274,2.98919,-1.37908,0.448016,3.00437,-1.35293,0.113854,3.00958,-1.31858,0.0549421,2.97852,-1.47133,0.351012,2.92091,-1.49765,0.121824,2.86552,-1.47661,-0.109816,2.81435,-1.46122,-0.167005,2.80049,-1.24503,0.380412,3.10995,-1.22416,0.101062,3.12819,-1.18741,-0.138041,3.08294,-1.17939,-0.208753,3.05006,-1.35895,-0.0135721,2.92579,-1.42024,-0.486899,2.90044,-1.41914,-0.868544,2.87804,-1.38629,-0.919832,2.82089,-1.25643,-0.011077,3.01906,-1.29625,-0.483776,3.00975,-1.3453,-0.862049,2.97372,-1.3558,-0.929504,2.97606,44_12_813
-1.30626,0.624274,2.98919,-1.37908,0.448016,3.00437,-1.35293,0.113854,3.00958,-1.31858,0.0549421,2.97852,-1.47133,0.351012,2.92091,-1.49765,0.121824,2.86552,-1.47661,-0.109816,2.81435,-1.46122,-0.167005,2.80049,-1.24503,0.380412,3.10995,-1.22416,0.101062,3.12819,-1.18741,-0.138041,3.08294,-1.17939,-0.208753,3.05006,-1.35895,-0.0135721,2.92579,-1.42024,-0.486899,2.90044,-1.41914,-0.868544,2.87804,-1.38629,-0.919832,2.82089,-1.25643,-0.011077,3.01906,-1.29625,-0.483776,3.00975,-1.3453,-0.862049,2.97372,-1.3558,-0.929504,2.97606,44_12_813
-1.2997,0.624489,2.99235,-1.37555,0.448275,3.00615,-1.34999,0.113758,3.01202,-1.3152,0.0549191,2.98073,-1.4689,0.350701,2.92216,-1.49911,0.115861,2.86822,-1.47447,-0.106452,2.81555,-1.462,-0.16458,2.79913,-1.24165,0.382318,3.11369,-1.22125,0.101855,3.13267,-1.18368,-0.144277,3.08559,-1.17471,-0.213611,3.05362,-1.35579,-0.0137918,2.92836,-1.41706,-0.486884,2.90031,-1.41845,-0.868579,2.87615,-1.37525,-0.914442,2.81273,-1.25305,-0.0112356,3.02114,-1.29421,-0.483501,3.01168,-1.34457,-0.860972,2.97408,-1.34694,-0.931507,2.99005,44_12_845
-1.2997,0.624489,2.99235,-1.37555,0.448275,3.00615,-1.34999,0.113758,3.01202,-1.3152,0.0549191,2.98073,-1.4689,0.350701,2.92216,-1.49911,0.115861,2.86822,-1.47447,-0.106452,2.81555,-1.462,-0.16458,2.79913,-1.24165,0.382318,3.11369,-1.22125,0.101855,3.13267,-1.18368,-0.144277,3.08559,-1.17471,-0.213611,3.05362,-1.35579,-0.0137918,2.92836,-1.41706,-0.486884,2.90031,-1.41845,-0.868579,2.87615,-1.37525,-0.914442,2.81273,-1.25305,-0.0112356,3.02114,-1.29421,-0.483501,3.01168,-1.34457,-0.860972,2.97408,-1.34694,-0.931507,2.99005,44_12_845
-1.295,0.62462,2.99461,-1.37288,0.448465,3.00749,-1.34778,0.11366,3.01381,-1.31265,0.054851,2.98242,-1.46707,0.350496,2.92315,-1.50015,0.111739,2.87014,-1.47267,-0.103796,2.81642,-1.46065,-0.161245,2.79735,-1.23589,0.374747,3.11847,-1.21852,0.0987964,3.13692,-1.18094,-0.149012,3.08749,-1.17143,-0.216991,3.05619,-1.35344,-0.0139997,2.93028,-1.41463,-0.486879,2.9002,-1.41795,-0.868585,2.8747,-1.36782,-0.910773,2.80723,-1.25044,-0.0115245,3.02276,-1.2927,-0.483306,3.01311,-1.34403,-0.86017,2.97436,-1.34101,-0.932874,2.99912,44_12_876
-1.295,0.62462,2.99461,-1.37288,0.448465,3.00749,-1.34778,0.11366,3.01381,-1.31265,0.054851,2.98242,-1.46707,0.350496,2.92315,-1.50015,0.111739,2.87014,-1.47267,-0.103796,2.81642,-1.46065,-0.161245,2.79735,-1.23589,0.374747,3.11847,-1.21852,0.0987964,3.13692,-1.18094,-0.149012,3.08749,-1.17143,-0.216991,3.05619,-1.35344,-0.0139997,2.93028,-1.41463,-0.486879,2.9002,-1.41795,-0.868585,2.8747,-1.36782,-0.910773,2.80723,-1.25044,-0.0115245,3.02276,-1.2927,-0.483306,3.01311,-1.34403,-0.86017,2.97436,-1.34101,-0.932874,2.99912,44_12_876
-1.2913,0.624708,2.9964,-1.37079,0.448651,3.00854,-1.34578,0.113816,3.01541,-1.31055,0.0550209,2.98389,-1.46568,0.350367,2.92396,-1.50088,0.108839,2.87153,-1.47131,-0.101791,2.81712,-1.4599,-0.159099,2.79631,-1.23372,0.379058,3.12014,-1.21671,0.10205,3.13948,-1.17919,-0.151829,3.08875,-1.16903,-0.21865,3.05852,-1.35146,-0.0139919,2.93195,-1.41277,-0.486922,2.90016,-1.4176,-0.868608,2.87362,-1.36303,-0.908352,2.80334,-1.24834,-0.0114843,3.02416,-1.29153,-0.483243,3.01421,-1.34363,-0.859685,2.97457,-1.33623,-0.934384,3.00535,44_12_908
-1.2913,0.624708,2.9964,-1.37079,0.448651,3.00854,-1.34578,0.113816,3.01541,-1.31055,0.0550209,2.98389,-1.46568,0.350367,2.92396,-1.50088,0.108839,2.87153,-1.47131,-0.101791,2.81712,-1.4599,-0.159099,2.79631,-1.23372,0.379058,3.12014,-1.21671,0.10205,3.13948,-1.17919,-0.151829,3.08875,-1.16903,-0.21865,3.05852,-1.35146,-0.0139919,2.93195,-1.41277,-0.486922,2.90016,-1.4176,-0.868608,2.87362,-1.36303,-0.908352,2.80334,-1.24834,-0.0114843,3.02416,-1.29153,-0.483243,3.01421,-1.34363,-0.859685,2.97457,-1.33623,-0.934384,3.00535,44_12_908
-1.28854,0.624726,2.99772,-1.36923,0.448801,3.00933,-1.34431,0.113911,3.01657,-1.30896,0.0550994,2.98502,-1.46455,0.350347,2.92475,-1.5014,0.106772,2.87251,-1.47027,-0.100256,2.81767,-1.45856,-0.157117,2.79579,-1.22932,0.372295,3.12317,-1.21482,0.0985783,3.14226,-1.17772,-0.154494,3.08956,-1.16724,-0.22038,3.06023,-1.34997,-0.014011,2.93324,-1.41129,-0.486977,2.90015,-1.41732,-0.868622,2.87284,-1.35952,-0.906648,2.80072,-1.24672,-0.0115668,3.02523,-1.29065,-0.483202,3.01503,-1.34332,-0.859277,2.97472,-1.33302,-0.935202,3.00972,44_12_939
-1.28854,0.624726,2.99772,-1.36923,0.448801,3.00933,-1.34431,0.113911,3.01657,-1.30896,0.0550994,2.98502,-1.46455,0.350347,2.92475,-1.5014,0.106772,2.87251,-1.47027,-0.100256,2.81767,-1.45856,-0.157117,2.79579,-1.22932,0.372295,3.12317,-1.21482,0.0985783,3.14226,-1.17772,-0.154494,3.08956,-1.16724,-0.22038,3.06023,-1.34997,-0.014011,2.93324,-1.41129,-0.486977,2.90015,-1.41732,-0.868622,2.87284,-1.35952,-0.906648,2.80072,-1.24672,-0.0115668,3.02523,-1.29065,-0.483202,3.01503,-1.34332,-0.859277,2.97472,-1.33302,-0.935202,3.00972,44_12_939
