head_x,head_y,head_z,shoulder_center_x,shoulder_center_y,shoulder_center_z,spine_x,spine_y,spine_z,hip center_x,hip center_y,hip center_z,shoulder left_x,shoulder left_y,shoulder left_z,elbow left_x,elbow left_y,elbow left_z,wrist left_x,wrist left_y,wrist left_z,hand left_x,hand left_y,hand left_z,shoulder right_x,shoulder right_y,shoulder right_z,elbow right_x,elbow right_y,elbow right_z,wrist right_x,wrist right_y,wrist right_z,hand right_x,hand right_y,hand right_z,hip left_x,hip left_y,hip left_z,knee left_x,knee left_y,knee left_z,ankle left_x,ankle left_y,ankle left_z,foot left_x,foot left_y,foot left_z,hip right_x,hip right_y,hip right_z,knee right_x,knee right_y,knee right_z,ankle right_x,ankle right_y,ankle right_z,foot right_x,foot right_y,foot right_z,time_stamp
0.347952,0.863544,3.00831,0.330112,0.675954,3.06022,0.310078,0.372769,3.05978,0.308239,0.320731,3.01134,0.167235,0.587328,3.06898,0.0630544,0.371484,3.05148,0.0222894,0.168423,2.92414,0.011771,0.102051,2.87816,0.487546,0.576681,3.08076,0.556799,0.330881,3.05912,0.56182,0.111145,2.91748,0.558628,0.0242643,2.89633,0.2318,0.252166,3.00028,0.187404,-0.0609059,2.73296,0.172771,-0.376311,2.73541,0.173534,-0.410334,2.67128,0.37594,0.247375,2.9982,0.369869,-0.0461682,2.73452,0.343816,-0.364726,2.73091,0.343067,-0.397488,2.66613,21_11_423
0.347952,0.863544,3.00831,0.330112,0.675954,3.06022,0.310078,0.372769,3.05978,0.308239,0.320731,3.01134,0.167235,0.587328,3.06898,0.0630544,0.371484,3.05148,0.0222894,0.168423,2.92414,0.011771,0.102051,2.87816,0.487546,0.576681,3.08076,0.556799,0.330881,3.05912,0.56182,0.111145,2.91748,0.558628,0.0242643,2.89633,0.2318,0.252166,3.00028,0.187404,-0.0609059,2.73296,0.172771,-0.376311,2.73541,0.173534,-0.410334,2.67128,0.37594,0.247375,2.9982,0.369869,-0.0461682,2.73452,0.343816,-0.364726,2.73091,0.343067,-0.397488,2.66613,21_11_423
0.347917,0.863377,3.00801,0.330348,0.676065,3.05966,0.310143,0.373106,3.05963,0.308448,0.321077,3.01126,0.16749,0.587309,3.06858,0.0631802,0.371701,3.05147,0.0220811,0.168136,2.925,0.0118341,0.102053,2.8783,0.488908,0.577041,3.08141,0.557352,0.329162,3.05895,0.561683,0.110983,2.91774,0.558945,0.0210121,2.89777,0.231855,0.252271,3.00012,0.187663,-0.0629786,2.73279,0.174318,-0.372745,2.732,0.175491,-0.407214,2.6656,0.376303,0.247734,2.99842,0.370061,-0.0474011,2.73394,0.344015,-0.364714,2.73108,0.343429,-0.398651,2.6644,21_11_470
0.347917,0.863377,3.00801,0.330348,0.676065,3.05966,0.310143,0.373106,3.05963,0.308448,0.321077,3.01126,0.16749,0.587309,3.06858,0.0631802,0.371701,3.05147,0.0220811,0.168136,2.925,0.0118341,0.102053,2.8783,0.488908,0.577041,3.08141,0.557352,0.329162,3.05895,0.561683,0.110983,2.91774,0.558945,0.0210121,2.89777,0.231855,0.252271,3.00012,0.187663,-0.0629786,2.73279,0.174318,-0.372745,2.732,0.175491,-0.407214,2.6656,0.376303,0.247734,2.99842,0.370061,-0.0474011,2.73394,0.344015,-0.364714,2.73108,0.343429,-0.398651,2.6644,21_11_470
0.347913,0.863349,3.00796,0.330384,0.676081,3.05958,0.310152,0.373157,3.0596,0.30848,0.321129,3.01125,0.167529,0.587306,3.06851,0.0632125,0.371705,3.05147,0.0219338,0.16766,2.92514,0.0126604,0.0978534,2.87957,0.489114,0.577094,3.0815,0.557435,0.328898,3.05892,0.561661,0.110959,2.91778,0.558993,0.0205044,2.898,0.231864,0.252287,3.00009,0.187702,-0.0632948,2.73277,0.174555,-0.372237,2.73145,0.175795,-0.406804,2.66464,0.376358,0.247788,2.99845,0.37009,-0.0476054,2.73385,0.344045,-0.364712,2.73111,0.343485,-0.398835,2.66413,21_11_501
0.347913,0.863349,3.00796,0.330384,0.676081,3.05958,0.310152,0.373157,3.0596,0.30848,0.321129,3.01125,0.167529,0.587306,3.06851,0.0632125,0.371705,3.05147,0.0219338,0.16766,2.92514,0.0126604,0.0978534,2.87957,0.489114,0.577094,3.0815,0.557435,0.328898,3.05892,0.561661,0.110959,2.91778,0.558993,0.0205044,2.898,0.231864,0.252287,3.00009,0.187702,-0.0632948,2.73277,0.174555,-0.372237,2.73145,0.175795,-0.406804,2.66464,0.376358,0.247788,2.99845,0.37009,-0.0476054,2.73385,0.344045,-0.364712,2.73111,0.343485,-0.398835,2.66413,21_11_501
0.347916,0.863312,3.00795,0.330408,0.676092,3.05951,0.310159,0.373194,3.05959,0.308503,0.321167,3.01124,0.167559,0.587304,3.06847,0.0632673,0.371621,3.05151,0.0217677,0.167015,2.92533,0.013574,0.0932511,2.88092,0.489267,0.577132,3.08157,0.557503,0.328649,3.0589,0.56164,0.110941,2.91783,0.559039,0.0200062,2.89837,0.23187,0.252298,3.00007,0.187732,-0.0635297,2.73275,0.174733,-0.371873,2.73104,0.176027,-0.406536,2.6639,0.376399,0.247822,2.99848,0.37009,-0.0478636,2.73375,0.344079,-0.364825,2.73125,0.343544,-0.399181,2.66403,21_11_532
0.347916,0.863312,3.00795,0.330408,0.676092,3.05951,0.310159,0.373194,3.05959,0.308503,0.321167,3.01124,0.167559,0.587304,3.06847,0.0632673,0.371621,3.05151,0.0217677,0.167015,2.92533,0.013574,0.0932511,2.88092,0.489267,0.577132,3.08157,0.557503,0.328649,3.0589,0.56164,0.110941,2.91783,0.559039,0.0200062,2.89837,0.23187,0.252298,3.00007,0.187732,-0.0635297,2.73275,0.174733,-0.371873,2.73104,0.176027,-0.406536,2.6639,0.376399,0.247822,2.99848,0.37009,-0.0478636,2.73375,0.344079,-0.364825,2.73125,0.343544,-0.399181,2.66403,21_11_532
0.347926,0.863266,3.00796,0.330423,0.676094,3.05946,0.310164,0.37322,3.05957,0.308521,0.321193,3.01124,0.167584,0.587305,3.06843,0.0634653,0.371277,3.05153,0.0216263,0.166199,2.92567,0.014421,0.0888385,2.88237,0.489383,0.57716,3.08163,0.557547,0.328403,3.05886,0.561616,0.11091,2.91794,0.559114,0.0194777,2.89898,0.231875,0.252306,3.00006,0.187749,-0.0637107,2.73274,0.174872,-0.371657,2.73074,0.176213,-0.406414,2.66334,0.37643,0.247845,2.99851,0.370075,-0.0481359,2.73365,0.344167,-0.365868,2.73186,0.343685,-0.400714,2.66446,21_11_563
0.347926,0.863266,3.00796,0.330423,0.676094,3.05946,0.310164,0.37322,3.05957,0.308521,0.321193,3.01124,0.167584,0.587305,3.06843,0.0634653,0.371277,3.05153,0.0216263,0.166199,2.92567,0.014421,0.0888385,2.88237,0.489383,0.57716,3.08163,0.557547,0.328403,3.05886,0.561616,0.11091,2.91794,0.559114,0.0194777,2.89898,0.231875,0.252306,3.00006,0.187749,-0.0637107,2.73274,0.174872,-0.371657,2.73074,0.176213,-0.406414,2.66334,0.37643,0.247845,2.99851,0.370075,-0.0481359,2.73365,0.344167,-0.365868,2.73186,0.343685,-0.400714,2.66446,21_11_563
