head_x,head_y,head_z,shoulder_center_x,shoulder_center_y,shoulder_center_z,spine_x,spine_y,spine_z,hip center_x,hip center_y,hip center_z,shoulder left_x,shoulder left_y,shoulder left_z,elbow left_x,elbow left_y,elbow left_z,wrist left_x,wrist left_y,wrist left_z,hand left_x,hand left_y,hand left_z,shoulder right_x,shoulder right_y,shoulder right_z,elbow right_x,elbow right_y,elbow right_z,wrist right_x,wrist right_y,wrist right_z,hand right_x,hand right_y,hand right_z,hip left_x,hip left_y,hip left_z,knee left_x,knee left_y,knee left_z,ankle left_x,ankle left_y,ankle left_z,foot left_x,foot left_y,foot left_z,hip right_x,hip right_y,hip right_z,knee right_x,knee right_y,knee right_z,ankle right_x,ankle right_y,ankle right_z,foot right_x,foot right_y,foot right_z,time_stamp
-1.25,0.511603,3.0811,-1.30615,0.317622,3.03246,-1.27149,-0.0720693,3.0076,-1.26455,-0.150008,3.00619,-1.35099,0.193679,2.89627,-1.43004,0.0692936,2.76262,-1.38392,-0.171069,2.75501,-1.36854,-0.251189,2.75733,-1.24879,0.178643,3.16026,-1.20621,-0.0572021,3.0815,-1.20567,-0.301624,3.05251,-1.18263,-0.374614,3.03336,-1.28147,-0.214925,2.93544,-1.28937,-0.680954,2.87533,-1.30482,-1.09239,2.89397,-1.28088,-1.14631,2.85878,-1.23548,-0.221692,3.06501,-1.25675,-0.721306,3.08966,-1.30204,-1.10306,3.00982,-1.2847,-1.1637,3.02128,10_37_060
-1.25,0.511603,3.0811,-1.30615,0.317622,3.03246,-1.27149,-0.0720693,3.0076,-1.26455,-0.150008,3.00619,-1.35099,0.193679,2.89627,-1.43004,0.0692936,2.76262,-1.38392,-0.171069,2.75501,-1.36854,-0.251189,2.75733,-1.24879,0.178643,3.16026,-1.20621,-0.0572021,3.0815,-1.20567,-0.301624,3.05251,-1.18263,-0.374614,3.03336,-1.28147,-0.214925,2.93544,-1.28937,-0.680954,2.87533,-1.30482,-1.09239,2.89397,-1.28088,-1.14631,2.85878,-1.23548,-0.221692,3.06501,-1.25675,-0.721306,3.08966,-1.30204,-1.10306,3.00982,-1.2847,-1.1637,3.02128,10_37_060
-1.24988,0.511217,3.07728,-1.30595,0.317271,3.0314,-1.27293,-0.0510334,3.00701,-1.26686,-0.119096,3.00514,-1.35115,0.19372,2.89499,-1.43136,0.0689767,2.75867,-1.38334,-0.174832,2.75439,-1.36734,-0.256102,2.75767,-1.25362,0.187029,3.16817,-1.20799,-0.0507428,3.0838,-1.20932,-0.298857,3.05283,-1.19904,-0.369868,3.04818,-1.28259,-0.185234,2.93505,-1.28936,-0.680869,2.87315,-1.31067,-1.07806,2.86822,-1.28158,-1.145,2.85747,-1.23947,-0.185761,3.06139,-1.25633,-0.719689,3.08789,-1.30219,-1.10275,3.00791,-1.28483,-1.16403,3.02116,10_37_091
-1.24988,0.511217,3.07728,-1.30595,0.317271,3.0314,-1.27293,-0.0510334,3.00701,-1.26686,-0.119096,3.00514,-1.35115,0.19372,2.89499,-1.43136,0.0689767,2.75867,-1.38334,-0.174832,2.75439,-1.36734,-0.256102,2.75767,-1.25362,0.187029,3.16817,-1.20799,-0.0507428,3.0838,-1.20932,-0.298857,3.05283,-1.19904,-0.369868,3.04818,-1.28259,-0.185234,2.93505,-1.28936,-0.680869,2.87315,-1.31067,-1.07806,2.86822,-1.28158,-1.145,2.85747,-1.23947,-0.185761,3.06139,-1.25633,-0.719689,3.08789,-1.30219,-1.10275,3.00791,-1.28483,-1.16403,3.02116,10_37_091
-1.24986,0.511156,3.0767,-1.30592,0.317224,3.03127,-1.27315,-0.047875,3.00692,-1.26716,-0.115037,3.00487,-1.35117,0.193727,2.8948,-1.43157,0.0689244,2.75807,-1.38325,-0.175433,2.75429,-1.36714,-0.256898,2.75772,-1.25436,0.188429,3.16949,-1.20827,-0.0497641,3.08415,-1.20988,-0.298457,3.05289,-1.20209,-0.369676,3.05053,-1.28279,-0.181713,2.93466,-1.2894,-0.681198,2.87323,-1.312,-1.07525,2.86304,-1.28168,-1.14481,2.85728,-1.23972,-0.181952,3.0607,-1.25626,-0.719439,3.08763,-1.30222,-1.1027,3.00762,-1.28484,-1.16408,3.02114,10_37_123
-1.24986,0.511156,3.0767,-1.30592,0.317224,3.03127,-1.27315,-0.047875,3.00692,-1.26716,-0.115037,3.00487,-1.35117,0.193727,2.8948,-1.43157,0.0689244,2.75807,-1.38325,-0.175433,2.75429,-1.36714,-0.256898,2.75772,-1.25436,0.188429,3.16949,-1.20827,-0.0497641,3.08415,-1.20988,-0.298457,3.05289,-1.20209,-0.369676,3.05053,-1.28279,-0.181713,2.93466,-1.2894,-0.681198,2.87323,-1.312,-1.07525,2.86304,-1.28168,-1.14481,2.85728,-1.23972,-0.181952,3.0607,-1.25626,-0.719439,3.08763,-1.30222,-1.1027,3.00762,-1.28484,-1.16408,3.02114,10_37_123
-1.24985,0.511103,3.07626,-1.30596,0.317217,3.03122,-1.27339,-0.0450559,3.00689,-1.26748,-0.11081,3.00477,-1.35119,0.193732,2.89465,-1.43174,0.0703773,2.75574,-1.38342,-0.175333,2.754,-1.36727,-0.257059,2.75778,-1.25491,0.189439,3.17043,-1.2086,-0.0491068,3.08435,-1.21046,-0.298433,3.05285,-1.20609,-0.464545,3.06692,-1.28291,-0.176987,2.93456,-1.28944,-0.681418,2.87323,-1.31269,-1.07384,2.86069,-1.28175,-1.14468,2.85712,-1.24017,-0.176609,3.06036,-1.25623,-0.719266,3.08741,-1.30224,-1.10266,3.0074,-1.27433,-1.15709,3.01282,10_37_154
-1.24985,0.511103,3.07626,-1.30596,0.317217,3.03122,-1.27339,-0.0450559,3.00689,-1.26748,-0.11081,3.00477,-1.35119,0.193732,2.89465,-1.43174,0.0703773,2.75574,-1.38342,-0.175333,2.754,-1.36727,-0.257059,2.75778,-1.25491,0.189439,3.17043,-1.2086,-0.0491068,3.08435,-1.21046,-0.298433,3.05285,-1.20609,-0.464545,3.06692,-1.28291,-0.176987,2.93456,-1.28944,-0.681418,2.87323,-1.31269,-1.07384,2.86069,-1.28175,-1.14468,2.85712,-1.24017,-0.176609,3.06036,-1.25623,-0.719266,3.08741,-1.30224,-1.10266,3.0074,-1.27433,-1.15709,3.01282,10_37_154
-1.24981,0.511027,3.0759,-1.306,0.317229,3.03124,-1.27352,-0.0433832,3.00683,-1.26754,-0.109799,3.00443,-1.3512,0.193737,2.89454,-1.43191,0.0705749,2.75506,-1.38346,-0.175513,2.75387,-1.36728,-0.257331,2.75777,-1.25531,0.190186,3.17113,-1.20883,-0.0486576,3.0845,-1.21089,-0.298616,3.05281,-1.20694,-0.52555,3.06918,-1.28288,-0.176451,2.93401,-1.28947,-0.681551,2.87323,-1.31325,-1.0726,2.85839,-1.2818,-1.1446,2.857,-1.24007,-0.177071,3.05969,-1.2562,-0.719138,3.08724,-1.30245,-1.10246,3.00654,-1.27304,-1.1566,3.0124,10_37_185
-1.24981,0.511027,3.0759,-1.306,0.317229,3.03124,-1.27352,-0.0433832,3.00683,-1.26754,-0.109799,3.00443,-1.3512,0.193737,2.89454,-1.43191,0.0705749,2.75506,-1.38346,-0.175513,2.75387,-1.36728,-0.257331,2.75777,-1.25531,0.190186,3.17113,-1.20883,-0.0486576,3.0845,-1.21089,-0.298616,3.05281,-1.20694,-0.52555,3.06918,-1.28288,-0.176451,2.93401,-1.28947,-0.681551,2.87323,-1.31325,-1.0726,2.85839,-1.2818,-1.1446,2.857,-1.24007,-0.177071,3.05969,-1.2562,-0.719138,3.08724,-1.30245,-1.10246,3.00654,-1.27304,-1.1566,3.0124,10_37_185
