head_x,head_y,head_z,shoulder_center_x,shoulder_center_y,shoulder_center_z,spine_x,spine_y,spine_z,hip center_x,hip center_y,hip center_z,shoulder left_x,shoulder left_y,shoulder left_z,elbow left_x,elbow left_y,elbow left_z,wrist left_x,wrist left_y,wrist left_z,hand left_x,hand left_y,hand left_z,shoulder right_x,shoulder right_y,shoulder right_z,elbow right_x,elbow right_y,elbow right_z,wrist right_x,wrist right_y,wrist right_z,hand right_x,hand right_y,hand right_z,hip left_x,hip left_y,hip left_z,knee left_x,knee left_y,knee left_z,ankle left_x,ankle left_y,ankle left_z,foot left_x,foot left_y,foot left_z,hip right_x,hip right_y,hip right_z,knee right_x,knee right_y,knee right_z,ankle right_x,ankle right_y,ankle right_z,foot right_x,foot right_y,foot right_z,time_stamp
0.145374,0.596472,1.53567,0.273111,0.445475,1.56946,0.248289,0.0617111,1.55425,0.243324,-0.0150417,1.55458,0.167084,0.253684,1.62584,0.140539,-0.0241705,1.58792,0.380733,-0.217335,1.48807,0.392541,-0.269138,1.50563,0.330126,0.295829,1.46198,0.417062,0.0325936,1.43253,0.403254,-0.202864,1.43662,0.399254,-0.277443,1.44903,0.203541,-0.0724348,1.58123,0.152061,-0.467261,1.53618,-0.0597137,-0.758693,1.64224,-0.146423,-0.778818,1.59783,0.27691,-0.0534696,1.52196,0.37147,-0.496222,1.73178,0.390299,-0.78015,1.77211,0.327147,-0.840468,1.72447, 2:52:18
0.145374,0.596472,1.53567,0.273111,0.445475,1.56946,0.248289,0.0617111,1.55425,0.243324,-0.0150417,1.55458,0.167084,0.253684,1.62584,0.140539,-0.0241705,1.58792,0.380733,-0.217335,1.48807,0.392541,-0.269138,1.50563,0.330126,0.295829,1.46198,0.417062,0.0325936,1.43253,0.403254,-0.202864,1.43662,0.399254,-0.277443,1.44903,0.203541,-0.0724348,1.58123,0.152061,-0.467261,1.53618,-0.0597137,-0.758693,1.64224,-0.146423,-0.778818,1.59783,0.27691,-0.0534696,1.52196,0.37147,-0.496222,1.73178,0.390299,-0.78015,1.77211,0.327147,-0.840468,1.72447, 2:52:18
0.119845,0.595336,1.53235,0.252352,0.446777,1.56363,0.227066,0.0547279,1.54654,0.2217,-0.0239002,1.54637,0.145766,0.261074,1.61791,0.114229,-0.0106914,1.58469,0.340796,-0.203814,1.45977,0.324006,-0.266098,1.47982,0.303638,0.295263,1.45514,0.390517,0.0310514,1.42048,0.371081,-0.20387,1.42289,0.364936,-0.282838,1.43449,0.183961,-0.077095,1.57151,0.138757,-0.468891,1.53343,0.0231391,-0.81821,1.55374,-0.0543833,-0.851267,1.49898,0.255001,-0.0618969,1.51588,0.343452,-0.505025,1.73543,0.334698,-0.789592,1.7727,0.266705,-0.84145,1.72434, 2:52:50
0.119845,0.595336,1.53235,0.252352,0.446777,1.56363,0.227066,0.0547279,1.54654,0.2217,-0.0239002,1.54637,0.145766,0.261074,1.61791,0.114229,-0.0106914,1.58469,0.340796,-0.203814,1.45977,0.324006,-0.266098,1.47982,0.303638,0.295263,1.45514,0.390517,0.0310514,1.42048,0.371081,-0.20387,1.42289,0.364936,-0.282838,1.43449,0.183961,-0.077095,1.57151,0.138757,-0.468891,1.53343,0.0231391,-0.81821,1.55374,-0.0543833,-0.851267,1.49898,0.255001,-0.0618969,1.51588,0.343452,-0.505025,1.73543,0.334698,-0.789592,1.7727,0.266705,-0.84145,1.72434, 2:52:50
0.108064,0.596576,1.5304,0.241761,0.447886,1.56097,0.214414,0.0497733,1.5421,0.208551,-0.030325,1.54153,0.135626,0.263059,1.61618,0.107885,-0.00824488,1.58366,0.322744,-0.204234,1.45381,0.289946,-0.265517,1.46791,0.293312,0.295226,1.45224,0.372587,0.0298001,1.41304,0.350651,-0.204712,1.41397,0.341222,-0.285641,1.4243,0.170922,-0.0827031,1.56635,0.134547,-0.471734,1.53239,0.0473562,-0.839217,1.53117,-0.0239712,-0.879799,1.47274,0.241568,-0.0686178,1.51109,0.318696,-0.522045,1.72767,0.323787,-0.794489,1.7745,0.255729,-0.845226,1.72728, 2:52:97
0.108064,0.596576,1.5304,0.241761,0.447886,1.56097,0.214414,0.0497733,1.5421,0.208551,-0.030325,1.54153,0.135626,0.263059,1.61618,0.107885,-0.00824488,1.58366,0.322744,-0.204234,1.45381,0.289946,-0.265517,1.46791,0.293312,0.295226,1.45224,0.372587,0.0298001,1.41304,0.350651,-0.204712,1.41397,0.341222,-0.285641,1.4243,0.170922,-0.0827031,1.56635,0.134547,-0.471734,1.53239,0.0473562,-0.839217,1.53117,-0.0239712,-0.879799,1.47274,0.241568,-0.0686178,1.51109,0.318696,-0.522045,1.72767,0.323787,-0.794489,1.7745,0.255729,-0.845226,1.72728, 2:52:97
0.0747067,0.599299,1.51994,0.208027,0.453343,1.55239,0.174562,0.0494574,1.5329,0.167191,-0.0317673,1.5322,0.0866049,0.232518,1.59391,0.103518,-0.0360291,1.50783,0.260395,-0.237382,1.40296,0.254123,-0.282821,1.43738,0.252909,0.298602,1.44121,0.304687,0.0343259,1.38796,0.267513,-0.194616,1.37829,0.257276,-0.277961,1.3853,0.125842,-0.0902003,1.5537,0.123568,-0.472793,1.52914,0.0662223,-0.851036,1.51296,0.00145677,-0.896115,1.45225,0.195486,-0.0643963,1.50398,0.187299,-0.535477,1.64161,0.179724,-0.809113,1.67636,0.116517,-0.844247,1.62903, 2:52:143
0.0747067,0.599299,1.51994,0.208027,0.453343,1.55239,0.174562,0.0494574,1.5329,0.167191,-0.0317673,1.5322,0.0866049,0.232518,1.59391,0.103518,-0.0360291,1.50783,0.260395,-0.237382,1.40296,0.254123,-0.282821,1.43738,0.252909,0.298602,1.44121,0.304687,0.0343259,1.38796,0.267513,-0.194616,1.37829,0.257276,-0.277961,1.3853,0.125842,-0.0902003,1.5537,0.123568,-0.472793,1.52914,0.0662223,-0.851036,1.51296,0.00145677,-0.896115,1.45225,0.195486,-0.0643963,1.50398,0.187299,-0.535477,1.64161,0.179724,-0.809113,1.67636,0.116517,-0.844247,1.62903, 2:52:143
0.0523756,0.603022,1.51264,0.165243,0.4611,1.54252,0.134425,0.0554504,1.52632,0.127244,-0.0259325,1.52623,0.0430568,0.210572,1.5803,0.0970295,-0.0442845,1.44344,0.172324,-0.261397,1.3521,0.193558,-0.302192,1.3972,0.200454,0.303864,1.42925,0.230754,0.0542022,1.36267,0.174596,-0.168947,1.33897,0.160095,-0.255317,1.34193,0.0896855,-0.0927012,1.54798,0.107681,-0.472112,1.52451,0.0808552,-0.849109,1.503,0.0378834,-0.848108,1.45228,0.155782,-0.0560447,1.49786,0.0954612,-0.538214,1.58377,0.0940229,-0.814051,1.61953,0.0331326,-0.840692,1.57367, 2:52:191
0.0523756,0.603022,1.51264,0.165243,0.4611,1.54252,0.134425,0.0554504,1.52632,0.127244,-0.0259325,1.52623,0.0430568,0.210572,1.5803,0.0970295,-0.0442845,1.44344,0.172324,-0.261397,1.3521,0.193558,-0.302192,1.3972,0.200454,0.303864,1.42925,0.230754,0.0542022,1.36267,0.174596,-0.168947,1.33897,0.160095,-0.255317,1.34193,0.0896855,-0.0927012,1.54798,0.107681,-0.472112,1.52451,0.0808552,-0.849109,1.503,0.0378834,-0.848108,1.45228,0.155782,-0.0560447,1.49786,0.0954612,-0.538214,1.58377,0.0940229,-0.814051,1.61953,0.0331326,-0.840692,1.57367, 2:52:191
