head_x,head_y,head_z,shoulder_center_x,shoulder_center_y,shoulder_center_z,spine_x,spine_y,spine_z,hip center_x,hip center_y,hip center_z,shoulder left_x,shoulder left_y,shoulder left_z,elbow left_x,elbow left_y,elbow left_z,wrist left_x,wrist left_y,wrist left_z,hand left_x,hand left_y,hand left_z,shoulder right_x,shoulder right_y,shoulder right_z,elbow right_x,elbow right_y,elbow right_z,wrist right_x,wrist right_y,wrist right_z,hand right_x,hand right_y,hand right_z,hip left_x,hip left_y,hip left_z,knee left_x,knee left_y,knee left_z,ankle left_x,ankle left_y,ankle left_z,foot left_x,foot left_y,foot left_z,hip right_x,hip right_y,hip right_z,knee right_x,knee right_y,knee right_z,ankle right_x,ankle right_y,ankle right_z,foot right_x,foot right_y,foot right_z,time_stamp
0.327676,0.790699,3.01392,0.319592,0.590766,3.04474,0.302957,0.259071,3.02326,0.296524,0.205748,2.96728,0.139033,0.477375,3.01343,0.0792737,0.212053,2.94071,0.118491,0.0142579,2.82351,0.141942,-0.068489,2.78678,0.465207,0.46377,2.99171,0.516041,0.211156,2.94944,0.481949,0.00642686,2.84452,0.497701,-0.0594832,2.85815,0.218829,0.136947,2.95885,0.12284,-0.211888,2.79332,0.258467,-0.272406,2.99324,0.187349,-0.327258,2.91841,0.365607,0.130825,2.94205,0.394743,-0.21139,2.73884,0.390725,-0.350795,2.82153,0.383914,-0.449143,2.84633,26_35_047
0.327676,0.790699,3.01392,0.319592,0.590766,3.04474,0.302957,0.259071,3.02326,0.296524,0.205748,2.96728,0.139033,0.477375,3.01343,0.0792737,0.212053,2.94071,0.118491,0.0142579,2.82351,0.141942,-0.068489,2.78678,0.465207,0.46377,2.99171,0.516041,0.211156,2.94944,0.481949,0.00642686,2.84452,0.497701,-0.0594832,2.85815,0.218829,0.136947,2.95885,0.12284,-0.211888,2.79332,0.258467,-0.272406,2.99324,0.187349,-0.327258,2.91841,0.365607,0.130825,2.94205,0.394743,-0.21139,2.73884,0.390725,-0.350795,2.82153,0.383914,-0.449143,2.84633,26_35_047
0.328567,0.786726,3.0146,0.319509,0.588944,3.04498,0.303184,0.257302,3.02363,0.297037,0.20396,2.96764,0.139863,0.475844,3.01404,0.080285,0.210648,2.94147,0.121174,0.0137606,2.8217,0.112711,-0.0610209,2.77357,0.465732,0.463314,2.99392,0.516765,0.207401,2.95014,0.481838,0.00172416,2.84589,0.490759,-0.0594782,2.84027,0.219624,0.134775,2.95886,0.125536,-0.214204,2.79473,0.25903,-0.273416,2.99532,0.188679,-0.327308,2.91949,0.366073,0.129624,2.94274,0.39449,-0.21138,2.73903,0.390865,-0.350906,2.82124,0.384617,-0.449202,2.84543,26_35_094
0.328567,0.786726,3.0146,0.319509,0.588944,3.04498,0.303184,0.257302,3.02363,0.297037,0.20396,2.96764,0.139863,0.475844,3.01404,0.080285,0.210648,2.94147,0.121174,0.0137606,2.8217,0.112711,-0.0610209,2.77357,0.465732,0.463314,2.99392,0.516765,0.207401,2.95014,0.481838,0.00172416,2.84589,0.490759,-0.0594782,2.84027,0.219624,0.134775,2.95886,0.125536,-0.214204,2.79473,0.25903,-0.273416,2.99532,0.188679,-0.327308,2.91949,0.366073,0.129624,2.94274,0.39449,-0.21138,2.73903,0.390865,-0.350906,2.82124,0.384617,-0.449202,2.84543,26_35_094
0.328713,0.785933,3.01473,0.319509,0.588494,3.04499,0.303225,0.25693,3.02369,0.297129,0.203592,2.9677,0.140012,0.475564,3.01415,0.0804459,0.21043,2.94159,0.11995,0.0125942,2.82309,0.107678,-0.060173,2.77187,0.465885,0.463207,2.99434,0.516879,0.206798,2.95024,0.481828,0.000941413,2.84612,0.489596,-0.0593646,2.83731,0.219755,0.134285,2.95884,0.125991,-0.214666,2.79496,0.25915,-0.27361,2.99572,0.18893,-0.327314,2.9197,0.366164,0.129347,2.94286,0.394451,-0.21139,2.73906,0.390802,-0.350877,2.82092,0.384465,-0.449173,2.84436,26_35_125
0.328713,0.785933,3.01473,0.319509,0.588494,3.04499,0.303225,0.25693,3.02369,0.297129,0.203592,2.9677,0.140012,0.475564,3.01415,0.0804459,0.21043,2.94159,0.11995,0.0125942,2.82309,0.107678,-0.060173,2.77187,0.465885,0.463207,2.99434,0.516879,0.206798,2.95024,0.481828,0.000941413,2.84612,0.489596,-0.0593646,2.83731,0.219755,0.134285,2.95884,0.125991,-0.214666,2.79496,0.25915,-0.27361,2.99572,0.18893,-0.327314,2.9197,0.366164,0.129347,2.94286,0.394451,-0.21139,2.73906,0.390802,-0.350877,2.82092,0.384465,-0.449173,2.84436,26_35_125
0.328682,0.784115,3.015,0.319542,0.587942,3.04496,0.302955,0.254353,3.02332,0.296598,0.199923,2.96711,0.140171,0.475157,3.01422,0.0805688,0.210258,2.94169,0.120939,0.0110393,2.82199,0.104788,-0.0609677,2.76935,0.465887,0.462013,2.99436,0.516935,0.20624,2.95028,0.48204,2.57709e-006,2.84654,0.483273,-0.060191,2.83112,0.219442,0.131765,2.95845,0.124548,-0.241191,2.80374,0.273956,-0.431675,2.65234,0.255442,-0.492346,2.56341,0.365272,0.125244,2.9423,0.39532,-0.210234,2.73773,0.393111,-0.365455,2.80894,0.38632,-0.437886,2.83953,26_35_156
0.328682,0.784115,3.015,0.319542,0.587942,3.04496,0.302955,0.254353,3.02332,0.296598,0.199923,2.96711,0.140171,0.475157,3.01422,0.0805688,0.210258,2.94169,0.120939,0.0110393,2.82199,0.104788,-0.0609677,2.76935,0.465887,0.462013,2.99436,0.516935,0.20624,2.95028,0.48204,2.57709e-006,2.84654,0.483273,-0.060191,2.83112,0.219442,0.131765,2.95845,0.124548,-0.241191,2.80374,0.273956,-0.431675,2.65234,0.255442,-0.492346,2.56341,0.365272,0.125244,2.9423,0.39532,-0.210234,2.73773,0.393111,-0.365455,2.80894,0.38632,-0.437886,2.83953,26_35_156
0.328546,0.78271,3.01527,0.319521,0.587362,3.04492,0.302557,0.251616,3.02293,0.29596,0.196257,2.96654,0.140304,0.474785,3.01429,0.0806597,0.21013,2.94177,0.121973,0.00950857,2.82084,0.10281,-0.0622256,2.76747,0.465793,0.460822,2.99427,0.516961,0.20579,2.9503,0.482413,-0.000889327,2.84708,0.479841,-0.0622611,2.82761,0.218996,0.129106,2.95802,0.123449,-0.24832,2.80474,0.292161,-0.476393,2.52831,0.296435,-0.540497,2.42483,0.364314,0.121235,2.94178,0.396213,-0.207361,2.73676,0.394665,-0.380371,2.79985,0.38801,-0.426421,2.8351,26_35_188
0.328546,0.78271,3.01527,0.319521,0.587362,3.04492,0.302557,0.251616,3.02293,0.29596,0.196257,2.96654,0.140304,0.474785,3.01429,0.0806597,0.21013,2.94177,0.121973,0.00950857,2.82084,0.10281,-0.0622256,2.76747,0.465793,0.460822,2.99427,0.516961,0.20579,2.9503,0.482413,-0.000889327,2.84708,0.479841,-0.0622611,2.82761,0.218996,0.129106,2.95802,0.123449,-0.24832,2.80474,0.292161,-0.476393,2.52831,0.296435,-0.540497,2.42483,0.364314,0.121235,2.94178,0.396213,-0.207361,2.73676,0.394665,-0.380371,2.79985,0.38801,-0.426421,2.8351,26_35_188
